#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-miR-129-2-3p	0.00	hsa-mir-129-2	0.00	0	0
hsa-miR-1290	0.00	hsa-mir-1290	0.00	0	0
hsa-miR-1291	0.00	hsa-mir-1291	0.00	0	0
hsa-miR-1292-3p	0.00	hsa-mir-1292	0.00	0	0
hsa-miR-1292-5p	0.00	hsa-mir-1292	0.00	0	0
hsa-miR-1293	0.00	hsa-mir-1293	0.00	0	0
hsa-miR-1294	0.00	hsa-mir-1294	0.00	0	0
hsa-miR-1295a	0.00	hsa-mir-1295a	0.00	0	0
hsa-miR-1295b-5p	0.00	hsa-mir-1295b	0.00	0	0
hsa-miR-1295b-3p	0.00	hsa-mir-1295b	0.00	0	0
hsa-miR-1296-5p	0.00	hsa-mir-1296	0.00	0	0
hsa-miR-1296-3p	0.00	hsa-mir-1296	0.00	0	0
hsa-miR-1297	0.00	hsa-mir-1297	0.00	0	0
hsa-miR-1298-5p	0.00	hsa-mir-1298	0.00	0	0
hsa-miR-1298-3p	0.00	hsa-mir-1298	0.00	0	0
hsa-miR-1299	0.00	hsa-mir-1299	0.00	0	0
hsa-miR-1301-5p	0.00	hsa-mir-1301	0.00	0	0
hsa-miR-1301-3p	0.00	hsa-mir-1301	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-1	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-10	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-11	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-2	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-3	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-4	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-5	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-6	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-7	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-8	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-9	0.00	0	0
hsa-miR-1303	0.00	hsa-mir-1303	0.00	0	0
hsa-miR-1304-3p	0.00	hsa-mir-1304	0.00	0	0
hsa-miR-1304-5p	0.00	hsa-mir-1304	0.00	0	0
hsa-miR-1305	0.00	hsa-mir-1305	0.00	0	0
hsa-miR-1306-5p	0.00	hsa-mir-1306	0.00	0	0
hsa-miR-1306-3p	0.00	hsa-mir-1306	0.00	0	0
hsa-miR-1307-5p	0.00	hsa-mir-1307	0.00	0	0
hsa-miR-1307-3p	2.00	hsa-mir-1307	2.00	2.00	65.27
hsa-miR-130a-5p	0.00	hsa-mir-130a	0.00	0	0
hsa-miR-130a-3p	4.00	hsa-mir-130a	4.00	4.00	130.54
hsa-miR-130b-5p	0.00	hsa-mir-130b	0.00	0	0
hsa-miR-130b-3p	2.00	hsa-mir-130b	2.00	2.00	65.27
hsa-miR-132-3p	2.00	hsa-mir-132	2.00	2.00	65.27
hsa-miR-132-5p	0.00	hsa-mir-132	0.00	0	0
hsa-miR-1321	0.00	hsa-mir-1321	0.00	0	0
hsa-miR-1322	0.00	hsa-mir-1322	0.00	0	0
hsa-miR-1323	0.00	hsa-mir-1323	0.00	0	0
hsa-miR-1324	0.00	hsa-mir-1324	0.00	0	0
hsa-miR-133a-3p	17.00	hsa-mir-133a-1	17.00	17.00	554.78
hsa-miR-133a-5p	0.00	hsa-mir-133a-1	0.00	0	0
hsa-miR-133a-3p	17.00	hsa-mir-133a-2	17.00	17.00	554.78
hsa-miR-133a-5p	0.00	hsa-mir-133a-2	0.00	0	0
hsa-miR-133b	2.00	hsa-mir-133b	2.00	2.00	65.27
hsa-miR-134-5p	0.00	hsa-mir-134	0.00	0	0
hsa-miR-134-3p	0.00	hsa-mir-134	0.00	0	0
hsa-miR-1343-5p	0.00	hsa-mir-1343	0.00	0	0
hsa-miR-1343-3p	0.00	hsa-mir-1343	0.00	0	0
hsa-miR-135a-5p	1.00	hsa-mir-135a-1	1.00	1.00	32.63
hsa-miR-135a-3p	0.00	hsa-mir-135a-1	0.00	0	0
hsa-miR-135a-5p	1.00	hsa-mir-135a-2	1.00	1.00	32.63
hsa-miR-135a-2-3p	0.00	hsa-mir-135a-2	0.00	0	0
hsa-miR-135b-3p	0.00	hsa-mir-135b	0.00	0	0
hsa-miR-135b-5p	0.00	hsa-mir-135b	0.00	0	0
hsa-miR-136-3p	2.00	hsa-mir-136	2.00	2.00	65.27
hsa-miR-136-5p	1.00	hsa-mir-136	1.00	1.00	32.63
hsa-miR-137-5p	0.00	hsa-mir-137	0.00	0	0
hsa-miR-137-3p	0.00	hsa-mir-137	0.00	0	0
hsa-miR-138-5p	0.00	hsa-mir-138-1	0.00	0	0
hsa-miR-138-1-3p	0.00	hsa-mir-138-1	0.00	0	0
hsa-miR-138-2-3p	0.00	hsa-mir-138-2	0.00	0	0
hsa-miR-138-5p	0.00	hsa-mir-138-2	0.00	0	0
hsa-miR-139-3p	0.00	hsa-mir-139	0.00	0	0
hsa-miR-139-5p	8.00	hsa-mir-139	8.00	8.00	261.07
hsa-miR-140-5p	5.00	hsa-mir-140	5.00	5.00	163.17
hsa-miR-140-3p	12.00	hsa-mir-140	12.00	12.00	391.61
hsa-miR-141-5p	2.00	hsa-mir-141	2.00	2.00	65.27
hsa-miR-141-3p	24.00	hsa-mir-141	24.00	24.00	783.21
hsa-miR-142-5p	14.00	hsa-mir-142	14.00	14.00	456.87
hsa-miR-142-3p	5.00	hsa-mir-142	5.00	5.00	163.17
hsa-miR-143-3p	11361.00	hsa-mir-143	11361.00	11361.00	370753.52
hsa-miR-143-5p	79.00	hsa-mir-143	79.00	79.00	2578.08
hsa-miR-144-3p	1.00	hsa-mir-144	1.00	1.00	32.63
hsa-miR-144-5p	1.00	hsa-mir-144	1.00	1.00	32.63
hsa-miR-145-5p	250.00	hsa-mir-145	250.00	250.00	8158.47
hsa-miR-145-3p	43.00	hsa-mir-145	43.00	43.00	1403.26
hsa-miR-1468-5p	0.00	hsa-mir-1468	0.00	0	0
hsa-miR-1468-3p	0.00	hsa-mir-1468	0.00	0	0
hsa-miR-1469	0.00	hsa-mir-1469	0.00	0	0
hsa-miR-146a-5p	94.00	hsa-mir-146a	94.00	94.00	3067.58
hsa-miR-146a-3p	0.00	hsa-mir-146a	0.00	0	0
hsa-miR-146b-3p	0.00	hsa-mir-146b	0.00	0	0
hsa-miR-146b-5p	32.00	hsa-mir-146b	32.00	32.00	1044.28
hsa-miR-1470	0.00	hsa-mir-1470	0.00	0	0
hsa-miR-1471	0.00	hsa-mir-1471	0.00	0	0
hsa-miR-147a	0.00	hsa-mir-147a	0.00	0	0
hsa-miR-147b-5p	0.00	hsa-mir-147b	0.00	0	0
hsa-miR-147b-3p	3.00	hsa-mir-147b	3.00	3.00	97.90
hsa-miR-148a-3p	2562.00	hsa-mir-148a	2562.00	2562.00	83608.00
hsa-miR-148a-5p	2.00	hsa-mir-148a	2.00	2.00	65.27
hsa-miR-148b-5p	0.00	hsa-mir-148b	0.00	0	0
hsa-miR-148b-3p	31.00	hsa-mir-148b	31.00	31.00	1011.65
hsa-miR-149-5p	2.00	hsa-mir-149	2.00	2.00	65.27
hsa-miR-149-3p	0.00	hsa-mir-149	0.00	0	0
hsa-miR-150-5p	3.00	hsa-mir-150	3.00	3.00	97.90
hsa-miR-150-3p	0.00	hsa-mir-150	0.00	0	0
hsa-miR-151a-5p	3.00	hsa-mir-151a	3.00	3.00	97.90
hsa-miR-151a-3p	34.00	hsa-mir-151a	34.00	34.00	1109.55
hsa-miR-151b	1.00	hsa-mir-151b	1.00	1.00	32.63
hsa-miR-152-5p	0.00	hsa-mir-152	0.00	0	0
hsa-miR-152-3p	25.00	hsa-mir-152	25.00	25.00	815.85
hsa-miR-153-3p	2.00	hsa-mir-153-1	2.00	2.00	65.27
hsa-miR-153-3p	2.00	hsa-mir-153-2	2.00	2.00	65.27
hsa-miR-153-5p	0.00	hsa-mir-153-2	0.00	0	0
hsa-miR-1537-5p	0.00	hsa-mir-1537	0.00	0	0
hsa-miR-1537-3p	0.00	hsa-mir-1537	0.00	0	0
hsa-miR-1538	0.00	hsa-mir-1538	0.00	0	0
hsa-miR-1539	0.00	hsa-mir-1539	0.00	0	0
hsa-miR-154-5p	0.00	hsa-mir-154	0.00	0	0
hsa-miR-154-3p	0.00	hsa-mir-154	0.00	0	0
hsa-miR-155-5p	7.00	hsa-mir-155	7.00	7.00	228.44
hsa-miR-155-3p	0.00	hsa-mir-155	0.00	0	0
hsa-miR-1587	0.00	hsa-mir-1587	0.00	0	0
hsa-miR-15a-5p	2.00	hsa-mir-15a	2.00	2.00	65.27
hsa-miR-15a-3p	0.00	hsa-mir-15a	0.00	0	0
hsa-miR-15b-3p	1.00	hsa-mir-15b	1.00	1.00	32.63
hsa-miR-15b-5p	6.00	hsa-mir-15b	6.00	6.00	195.80
hsa-miR-16-1-3p	1.00	hsa-mir-16-1	1.00	1.00	32.63
hsa-miR-16-5p	29.00	hsa-mir-16-1	29.00	29.00	946.38
hsa-miR-16-2-3p	0.00	hsa-mir-16-2	0.00	0	0
hsa-miR-16-5p	29.00	hsa-mir-16-2	29.00	29.00	946.38
hsa-miR-17-5p	11.00	hsa-mir-17	11.00	11.00	358.97
hsa-miR-17-3p	1.00	hsa-mir-17	1.00	1.00	32.63
hsa-miR-181a-3p	0.00	hsa-mir-181a-1	0.00	0	0
hsa-miR-181a-5p	29.00	hsa-mir-181a-1	29.00	29.00	946.38
hsa-miR-181a-2-3p	3.00	hsa-mir-181a-2	3.00	3.00	97.90
hsa-miR-181a-5p	29.00	hsa-mir-181a-2	29.00	29.00	946.38
hsa-miR-181b-3p	0.00	hsa-mir-181b-1	0.00	0	0
hsa-miR-181b-5p	3.00	hsa-mir-181b-1	3.00	3.00	97.90
hsa-miR-181b-5p	3.00	hsa-mir-181b-2	3.00	3.00	97.90
